Especie,Latitude,Longitude
Carica Papaya,9.92385,-84.95686667
Carica Papaya,9.931833,-84.96221667
Carica Papaya,9.931917,-84.9629
Carica Papaya,10.0273,-83.25225
Carica Papaya,10.02735,-83.25196667
Carica Papaya,10.044017,-83.27855
Carica Papaya,10.044033,-83.27895
Carica Papaya,10.04425,-83.27946667
Carica Papaya,10.044717,-84.75388333
Carica Papaya,10.0468,-84.7531
Carica Papaya,10.046833,-84.75311667
Carica Papaya,10.046833,-84.75313333
Carica Papaya,10.046917,-84.75315
Carica Papaya,10.046917,-84.75316667
Carica Papaya,10.04695,-84.75316667
Carica Papaya,10.046967,-84.75326667
Carica Papaya,10.046967,-84.7533
Carica Papaya,10.047117,-83.34218333
Carica Papaya,10.047167,-84.75353333
Carica Papaya,10.047233,-84.7536
Carica Papaya,10.04735,-84.75361667
Carica Papaya,10.047367,-84.75363333
Carica Papaya,10.047467,-84.7538
Carica Papaya,10.061,-83.36795
Carica Papaya,10.062933,-84.76026667
Carica Papaya,10.0631,-84.7602
Carica Papaya,10.0631,-84.76035
Carica Papaya,10.063133,-84.76018333
Carica Papaya,10.063233,-84.76026667
Carica Papaya,10.063417,-84.76076667
Carica Papaya,10.064067,-84.76131667
Carica Papaya,10.0641,-84.76141667
Carica Papaya,10.064367,-84.76176667
Carica Papaya,10.064433,-84.76183333
Carica Papaya,10.064767,-83.36743333
Carica Papaya,10.069283,-84.76978333
Carica Papaya,10.070633,-84.77201667
Carica Papaya,10.07075,-84.77215
Carica Papaya,10.076967,-84.77911667
Carica Papaya,10.076983,-84.77908333
Carica Papaya,10.077367,-83.40053333
Carica Papaya,10.077733,-83.40671667
Carica Papaya,10.078417,-84.78088333
Carica Papaya,10.0917,-84.7968
Carica Papaya,10.099583,-83.43475
Carica Papaya,10.099617,-83.43731667
Carica Papaya,10.1766,-84.92963333
Carica Papaya,10.225467,-85.12236667
Carica Papaya,10.225467,-85.12238333
Carica Papaya,10.225483,-85.12238333
Carica Papaya,10.225517,-85.1224
Carica Papaya,10.225517,-85.12253333
Carica Papaya,10.225533,-85.12265
